英文,縮寫,領域,完整繁中名稱,簡稱,補充說明,引用來源
Account,,無特定領域,帳戶,,,
Address,,無特定領域,地址,,Bitcoin 的地址就像真實地址或 Email，這是您收款時唯一需要提供的資訊。然而，一個重要的差別是，一個地址只能用於一筆交易。,https://bitcoin.org/zh_TW/vocabulary
Altcoin,,無特定領域,替代幣,,替代幣? 山寨幣好像給人一種除了比特幣之外都是山寨的一樣,
Anti Money Laundry,AML,無特定領域,反洗錢,,Anti Money Laundry (反洗錢？) /是,
Application-Specific Integrated Circuits,ASIC,無特定領域,特殊應用積體電路,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
authentication path,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
authoritative,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
authoritative record,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Balance,,無特定領域,餘額,,,
balanced tree,,演算法,平衡樹,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Bit,,比特幣,Bit,,"Bit 是標明一個比特幣的次級單位的常用單位 -1,000,000 bits 等於1 比特幣 (BTC or B⃦).，通常這個單位對於標示小費、商品和服務價格更方便。",https://bitcoin.org/zh_TW/vocabulary
Bitcoin,,比特幣,比特幣,,Bitcoin - 以大寫字母開頭，用於描述 Bitcoin 的概念或整個網路。譬如：“我今天瞭解了有關 Bitcoin 協議的內容。”bitcoin - 以小寫字母開頭，用於描述作為一個計量單位來使用的比特幣，例如：“我今天轉出了 10 個比特幣。”它也常常縮寫為 BTC 或 XBT。,https://bitcoin.org/zh_TW/vocabulary
Bitcoin Improve Proposal,BIP,比特幣,比特幣改進方案,,Bitcoin Improve Proposal,
Block,,無特定領域,區塊,,區塊是區塊鏈中的一筆紀錄，其包含與確認了等待中的交易。平均大約每十分鐘就會有一個新的區塊經由挖礦被加到區塊鏈中。,https://bitcoin.org/zh_TW/vocabulary
block hash,,無特定領域,區塊雜湊值,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
block header,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
block height,,無特定領域,區塊高度,,區塊鏈的長度,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
block index,,無特定領域,區塊索引,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
block number,,無特定領域,區塊編號,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Blockchain,,無特定領域,區塊鏈,,區塊鏈是一個按照時間排序的公開的 Bitcoin 交易紀錄。所有的 Bitcoin 用戶分享區塊鏈，它可用於驗證 Bitcoin 交易的持久性并避免雙重支付的情況。,https://bitcoin.org/zh_TW/vocabulary
blockchain explorer,,無特定領域,區塊鏈瀏覽器,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
Bloom filter,,演算法,布隆過濾器,,檢索元素是否在集合中的演算法。特色是犧牲識別率換取高時間、空間效率。,https://zh.wikipedia.org/wiki/%E5%B8%83%E9%9A%86%E8%BF%87%E6%BB%A4%E5%99%A8
bootstrap,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
branch,,無特定領域,分支,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
broadcast,,無特定領域,廣播,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
brain wallet,,無特定領域,,,,
brute-force,,無特定領域,暴力,暴搜,一般搭配暴力搜索使用,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
BTC,,比特幣,BTC,,BTC 是用於標明一個比特幣的常用單位,https://bitcoin.org/zh_TW/vocabulary
build prerequisites,,無特定領域,,,,https://www.bitcoinbook.info/translations-of-mastering-bitcoin/
